"","SpeciesName","Abundance","Invasive"
"217","Echinochloa crus galli",63,0
"218","Echinochloa spec.",101,0
"219","Elaeis guineensis",654,0
"220","Elaeocarpus mastersii",1,0
"221","Elausine indica",16,0
"222","Elephantopus mollis",98,0
"223","Elephantus mollis",29,0
"224","Eleusine indica",93,0
"225","Embelia ribes",1,0
"226","endospermum bergerigi",7,0
"227","Endospermum diadenum",429,0
"228","Erigeron sumatrensis",16,0
"229","Erycibe sp.1",37,0
"230","Erycibe spec.",1,0
"231","Etlingera spec.",1,0
"232","Eulophia Spectabilis",2,0
"233","Euodia latifolia",1,0
"234","Eupatrium odoratum",9,0
"235","Euphobia spec.",1,0
"236","Euphorbia spec.",1,0
"237","Euphorbiaceae spec. 1",1,0
"238","Euphorbiaceae spec. 2",1,0
"239","Euria nitida",16,0
"240","Ficus bengamina",3,0
"241","Ficus cryptosyce",1,0
"242","Ficus fistulosa",7,0
"243","Ficus montana",19,0
"244","ficus variegata",3,0
"245","Flacourtia rukam",2,0
"246","Flemingia strobilifera",2,0
"247","Fordia splendidissima",2,0
"248","Furry leaves",1,0
"249","Galearia filiformis",12,0
"250","Galearia fulva",3,0
"251","Galeria spec.",2,0
"252","Garcinia mangostana",1,0
"253","Gardenia anisophylla",9,0
"254","Gentianaceae spec.",2,0
"255","genus american chesnut",10,0
"256","Gerombola hijau",13,0
"257","Gesneriaceae spec.",1,0
"258","Gigantochloa apus",1,0
"259","Girroniera nervosa",2,0
"260","Globa spec.",2,0
"261","Globba pendula",634,0
"262","Glochidion arborescens",1,0
"263","Glochidion rubrum",4,0
"264","Goniophlebium verrucosum",529,0
"265","Gordonia excelsa",15,0
"266","Guioa pleuropteris",1,0
"267","Gymnema spec.",2,0
"268","Gynotroches axillaris",13,0
"269","heart formed leaves",3,0
"270","Hedyotis diffusa",4,0
"271","Heleocharis spec.",3,0
"272","Helminthostachys zeylanica",78,0
"273","Helmintostachys zeylanica",3,0
"274","Hevea brasiliensis",4789,0
"275","Hevea Brasiliensis",224,0
"276","Hibiscus mutabilis",15,0
"277","Histiopteris incisa",8,0
"278","Hypserpa nitida",15,0
"279","Hyptis brevipes",12,0
"280","Hyptis capitata",40,0
"281","Imperata cylindrica",2313,0
"282","Imperata silindrica",16,0
"283","Ixora grandifolia",49,0
"284","Ixora spec.",1,0
"285","Jambu bol",1,0
"286","Jamur Tanah",2,0
"287","Jelutung s.p",1,0
"288","Jengkol",13,0
"289","juncus bufonius",32,0
"290","Jussiaea linifolia",3,0
"291","kandis",4,0
"292","Kantong Semar",10,0
"293","kayu berumbung",9,0
"294","Kayu kelat",10,0
"295","kayu mahang",5,0
"296","kayu plangas",4,0
"297","kayu tempe tempe",3,0
"298","Kayu terap",1,0
"299","Kayu Tutup",2,0
"300","Kedobdong",2,0
"301","Kedondong",5,0
"302","Kunyit hutan",2,0
"303","Kunyit Hutan",8,0
"304","Kunyit kunyitan",10,0
"305","Labisia acuta",1,0
"306","Lansium parasiticum


",2,0
"307","Lantana camara",145,0
"308","Laos hutan",1,0
"309","Laos laosan",9,0
"310","Lasianthus inaequalis",149,0
"311","Leea indica",9,0
"312","Legazpia polygonoides",6931,0
"313","Legunimose spec.",2,0
"314","Leptaspis urceolata",6592,0
"315","Ligodium cf.circinatum 14",14,0
"316","Ligodium Salicifolium",13,0
"317","Like batangmerah",1,0
"318","Like daun jeruk nipis",13,0
"319","like daun katu",1,0
"320","like goniophlebium",6,0
"321","Like kedondong",1,0
"322","Like Lasianthus inaequalis",2,0
"323","Like Mangoes leaf",8,0
"324","Like meremia",3,0
"325","Like Merremia",1,0
"326","Like oxalis",6,0
"327","Like pakis",79,0
"328","Like red melasthoma",5,0
"329","Like rubber",3,0
"330","Like schopalia",11,0
"331","Lindernia crustacea",622,0
"332","Lindernia diffusa",1457,0
"333","Lindernia sp. 1",4,0
"334","Lindsaea diffusa",94,0
"335","Lindsaea ensifolia",4062,0
"336","Lindsaea nitida",12,0
"337","Lindsaea Salicifolium",5,0
"338","Litsea spec.",4,0
"339","LN: Akar",73,0
"340","LN: Akar Kait-Kait",3,0
"341","LN: Akar terpal",62,0
"342","LN: Alang alang",19,0
"343","LN: Amplas kijung",125,0
"344","LN: Anak laras",4,0
"345","LN: Anting",33,0
"346","LN: Batang Kabau",6,0
"347","LN: Batang leban",1,0
"348","LN: Batang merah",23,0
"349","LN: Batang Merah",1,0
"350","LN: Batang mupur",1,0
"351","LN: Batang Siancing",5,0
"352","LN: Cabe-cabean",1145,0
"353","LN: Cempedak",17,0
"354","LN: Cempedak aek",1,0
"355","LN: Dumian hutan",1,0
"356","LN: Jambu-Jambu",6,0
"357","LN: Jambu biji",1,0
"358","LN: Jelatang",1,0
"359","LN: Jengkol",5,0
"360","LN: Jerat Padang",2,0
"361","LN: Jeruk Manis",3,0
"362","LN: Jeruk nipis",2,0
"363","LN: Kaca Kacang",20,0
"364","LN: Kacang hijau",7,0
"365","LN: Kancilan",1,0
"366","LN: Kara Karang",3,0
"367","LN: Kayu berumbung",1,0
"368","LN: Kayu medang",17,0
"369","LN: Kayu Mengkubung",1,0
"370","LN: Kayu merah",1,0
"371","LN: Kayu paku",2,0
"372","LN: Kayu paku-paku",2,0
"373","LN: Kayu plangas",1,0
"374","LN: Kayu teri-teri",2,0
"375","LN: Kemenyan",1,0
"376","LN: Kemiri hutan",110,0
"377","LN: Kopi",53,0
"378","LN: Laos- Laosan",39,0
"379","LN: Lengkuas",72,0
"380","LN: Mahoni",2,0
"381","LN: Mata Keli",2,0
"382","LN: Melati hutan",21,0
"383","LN: Memyan",16,0
"384","LN: Merpoi",16,0
"385","LN: Nangka",1,0
"386","LN: Narung",1,0
"387","LN: Pakai sepasang",2,0
"388","LN: Paku ?",7,0
"389","LN: Paku pedang",17,0
"390","LN: Paku rambat",104,0
"391","LN: Paku rambat keriting",164,0
"392","LN: Paku sepasang",29,0
"393","LN: Pancing Pancingan",2,0
"394","LN: Pandan",14,0
"395","LN: Plangas",29,0
"396","LN: Pohon afrika",1,0
"397","LN: Pohon berumbun",1,0
"398","LN: Pohon cepekal",1,0
"399","LN: Pohon kembang",19,0
"400","LN: Pucuk Sungkai",13,0
"401","LN: Pulai",21,0
"402","LN: Pulai sp. 1",66,0
"403","LN: Pulai sp. 2",16,0
"404","LN: Rambutan",1,0
"405","LN: Ramputan",1,0
"406","LN: Resam",9,0
"407","LN: Rumput umum",917,0
"408","LN: Salung",12,0
"409","LN: Senayan",2,0
"410","LN: Sepang",6,0
"411","LN: Tepus",1,0
"412","LN: Teranf belanda",1,0
"413","LN: Terong belanda",5,0
"414","LN: Wiladah",2,0
"415","locak name: Rumput pulut",11,0
"416","locakl name: Waru",1,0
"417","local name:  Akar gangat",4,0
"418","local name:  Antaran/Pegagan",11,0
"419","local name:  Wedilia biflora",1,0
"420","local name: Akar cimurai",0,0
"421","local name: Akar getah",4,0
"422","local name: Akar kalim penarg",2,0
"423","local name: Akar kenia",7,0
"424","local name: Akar kunyit",2,0
"425","local name: Akar letu",4,0
"426","local name: Akar otan",1,0
"427","local name: Akar padi-padi",3,0
"428","local name: Akar Sebasau",18,0
"429","local name: Akar sedigin",1,0
"430","local name: Akar telur",1,0
"431","local name: Akar terpal",37,0
"432","local name: Amben bua",4,0
"433","local name: Amplasan",3,0
"434","local name: Anak kayu aro",1,0
"435","local name: Anak medang",2,0
"436","local name: Anggrung",8,0
"437","local name: Badang burung",2,0
"438","local name: Balsam",26,0
"439","local name: Bangkung",3,0
"440","local name: Batang kaban",7,0
"441","local name: Batang Kayu Ubi",1,0
"442","local name: Batang pulai",2,0
"443","local name: Batang rambe",9,0
"444","local name: Batang sejengkal",2,0
"445","local name: Batang setawa",12,0
"446","local name: Batang Sungkai",26,0
"447","local name: Berbau mint",4,0
"448","local name: Beringin",35,0
"449","local name: Bulangan/Badulang",1,0
"450","local name: Buruk sawah",2,0
"451","local name: Butng Kayu ribu-ribuant",1,0
"452","local name: Capoklek",6,0
"453","local name: Caspo",6,0
"454","local name: Cempedak",1,0
"455","local name: Cepekal",3,0
"456","local name: Cetokan",3,0
"457","local name: Daun kacang-kacang",1,0
"458","local name: Daun tulang tegas",1,0
"459","local name: Fahmi",1,0
"460","local name: Faizal flower",12,0
"461","local name: Gadung",1,0
"462","local name: Gawal-gawal",41,0
"463","local name: Gawal-Gawal",3,0
"464","local name: gear like",7,0
"465","local name: Gear like",19,0
"466","local name: Hanjuang",1,0
"467","local name: Jambu-jambu",46,0
"468","local name: Jambuan",18,0
"469","local name: Jatian",1,0
"470","local name: Jengkol",31,0
"471","local name: Jeruk-jerukan",2,0
"472","local name: Jeruk/ Jeruk hipis",1,0
"473","local name: Jira",1,0
"474","local name: Kandri",1,0
"475","local name: Kayu balam",1,0
"476","local name: Kayu baru",2,0
"477","local name: kayu batang seribu",1,0
"478","local name: Kayu bebantut",4,0
"479","local name: Kayu Cemekal",2,0
"480","local name: Kayu kampui",1,0
"481","local name: Kayu karnyi",4,0
"482","local name: Kayu kedemik",1,0
"483","local name: kayu kelat",14,0
"484","local name: Kayu Kindai",1,0
"485","local name: Kayu Klebuk",4,0
"486","local name: Kayu laban",1,0
"487","local name: Kayu lasi",2,0
"488","local name: Kayu leban",1,0
"489","local name: Kayu medang",1,0
"490","local name: Kayu mentimun",1,0
"491","local name: Kayu minyak",3,0
"492","local name: Kayu plangas",9,0
"493","local name: Kayu pulai",1,0
"494","local name: Kayu pule",3,0
"495","local name: Kayu ribu-ribuan",8,0
"496","local name: Kayu sapu",1,0
"497","local name: Kayu Sebayang",3,0
"498","local name: Kayu Senyri",3,0
"499","Local name: Kayu seribu",1,0
"500","local name: Kayu siak",11,0
"501","local name: Kayu slaung",6,0
"502","local name: Kayu tanah",1,0
"503","local name: Kayu ubi",1,0
"504","local name: Kemadu",2,0
"505","local name: Kemuning",2,0
"506","local name: Kendung",1,0
"507","local name: Kerisan",3,0
"508","local name: Kerubut",22,0
"509","local name: Khongin",5,0
"510","local name: Kindai",21,0
"511","local name: Kinidai",4,0
"512","local name: Klebuk",1,0
"513","local name: Kopi/Pohon Kopi",5,0
"514","local name: Krangi",7,0
"515","local name: Kuping gajah",1,0
"516","local name: Labu kayu",1,0
"517","local name: Lawatan",13,0
"518","local name: Leaf yellow margin",2,0
"519","local name: Leban",4,0
"520","local name: Liba",768,0
"521","local name: Ligodiuman",70,0
"522","local name: Liman-Liman/Ketek duri",6,0
"523","local name: Mahang",1,0
"524","local name: Mali mali",4,0
"525","local name: Mangkirai",1,0
"526","local name: Marpui",31,0
"527","local name: Mata keli",1,0
"528","local name: Medang",16,0
"529","local name: medon silu",5,0
"530","local name: Meranti kuning",1,0
"531","local name: Mupur",2,0
"532","local name: Mysterious half leave",36,0
"533","local name: Narung",6,0
"534","local name: Pakisan",32,0
"535","local name: Paku gunungan",1,0
"536","local name: Paku kamiding",27,0
"537","local name: Paku lamiding",90,0
"538","local name: Paku Lamiding",62,0
"539","local name: Paku sisik naga",5,0
"540","local name: Paku tanah",181,0
"541","local name: Paku tenah",3,0
"542","local name: Palm lomiding",1,0
"543","local name: Papening",5,0
"544","local name: Papu'du",6,0
"545","local name: Pasak bumi",4,0
"546","local name: Pasak Bumi",38,0
"547","local name: Pebangeh",18,0
"548","local name: Pelangeh",3,0
"549","local name: Petai",4,0
"550","local name: Pete",1,0
"551","local name: Piper betle",22,0
"552","local name: Plangas",39,0
"553","local name: Pohon gronggang",1,0
"554","local name: Pohon kabau",2,0
"555","local name: Pohon medong kuning",1,0
"556","local name: Pohon Pulai",3,0
"557","local name: Pohon rangka",1,0
"558","local name: Pohon ribu-ribuhan",2,0
"559","local name: Pohon salum",2,0
"560","local name: Pohon Sebekal",4,0
"561","local name: Pohon Terap",4,0
"562","local name: Pulut pulut",16,0
"563","local name: Puring",6,0
"564","local name: Putat",5,0
"565","local name: Rambutan",1,0
"566","local name: Rulum",6,0
"567","local name: Rumput anting anting",9,0
"568","local name: Rumput belanda",3,0
"569","local name: Rumput malazim",6,0
"570","local name: Rumput oto",14,0
"571","local name: Rumput pegago",2,0
"572","local name: Saga",13,0
"573","local name: Salam",4,0
"574","local name: Sampon",2,0
"575","local name: Sebekal",1,0
"576","local name: Sebetal",1,0
"577","local name: Secerek",10,0
"578","local name: Sekubung",5,0
"579","local name: Semantong",4,0
"580","local name: Sembukan",1,0
"581","local name: Siancing",1,0
"582","local name: Sing koyok macaranga",6,0
"583","local name: Sintrong",19,0
"584","local name: Sintrongan",4,0
"585","local name: Spine tangue",2,0
"586","local name: Stunygit",3,0
"587","local name: Teh tehan",3,0
"588","local name: Tehan",2,0
"589","local name: Tehtehan",4,0
"590","local name: Tembesu angin",9,0
"591","local name: Tepusan",3,0
"592","local name: Tepusun",1,0
"593","local name: Terpus",5,0
"594","local name: Terung manek",7,0
"595","local name: Terung Manek",5,0
"596","local name: Waru",22,0
"597","Long Sharp Leaves Tree",5,0
"598","Long Straight Grass",2,0
"599","Looks like Acmella paniculata",4,0
"600","Looks like cleome rutidosperma",18,0
"601","Looks like Ficus",1,0
"602","Looks like Lindsaea Ensifolia",18,0
"603","looks like Merrenia Umbelata",3,0
"604","Looks like Mussaenda Frondusa",1,0
"605","Looks Like peperomia pellucida",2,0
"606","Looks Like Tetracera Indica",28,0
"607","Ludwigia octovalvis",280,0
"608","lumut",3520,0
"609","Lycopodiella cernua",27,0
"610","Lycopodiella cernua",18,0
"611","Lygodium arcinatum",19,0
"612","Lygodium cf circinatum",2,0
"613","lygodium cf salicifolium",6,0
"614","Lygodium cf. circinatum",2,0
"615","lygodium cf.circinatum",24,0
"616","Lygodium cf.circinatum",20,0
"617","lygodium cf.salicifolium",2,0
"618","Lygodium cf.salicifolium",26,0
"619","Lygodium circinatum",1737,0
"620","Lygodium cs.circinatum",3,0
"621","Lygodium flexuosum",32,0
"622","Lygodium microphyllum",122,0
"623","Lygodium salicifolium",1603,0
"624","Lygodium salisipolium",3,0
"625","Lygodium scandens�",2,0
"626","Lygodium sp.",65,0
"627","Lygodium spec.",56,0
"628","Macaranga bancana",394,0
"629","Macaranga gangetica",146,0
"630","Macaranga gigantea",656,0
"631","Macaranga gigantica",1,0
"632","Macaranga gigantifolia",5,0
"633","Macaranga javanica",5,0
"634","Macaranga recurvata",3,0
"635","Macaranga tanarius",2,0
"636","Macaranga triloba",86,0
"637","Maesa ramentacea",2,0
"638","Maesopsis eminii",2,0
"639","Mallotes euphorbialeae",10,0
"640","Mallotus peltatus",134,0
"641","Mampat",12,0
"642","Mangifera indica",51,0
"643","Manihot esculenta",1,0
"644","Manihot utilissima",2,0
"645","Marantodes pumilum",40,0
"646","Medang Kancil",2,0
"647","Medang Peraweh",1,0
"648","Melastoma affine",182,0
"649","melastoma candidum",3,0
"650","Melastoma malabathricum",6814,0
"651","Memecylon edule",1,0
"652","Merremia umbellata",35,0
"653","Mikania cordata",7,0
"654","mikania micrantha",17,0
"655","Mikania micrantha",781,0
"656","Milettia spec.",4,0
"657","Millettia spec.",12,0
"658","Mimmosa pudica",6,0
"659","mimosa",1,0
"660","Mimosa",2,0
"661","Mimosa pudica",354,0
"662","Mimosa sp.",24,0
"663","Mimosa pudica",27,0
"664","mirip clidemia tapi merambat",6,0
"665","Mirip Daun Durian",1,0
"666","Mirip Daun Jati",1,0
"667","mirip daun jeruk",3,0
"668","mirip daun kare",2,0
"669","Mirip Daun Salam",1,0
"670","mirip daun tembakau",2,0
"671","Mirip Ensospermum",2,0
"672","Mirip Ixora",2,0
"673","Mirip Jati",7,0
"674","mirip karet",3,0
"675","Mirip Karet",1,0
"676","Mirip Kedondong",2,0
"677","mirip kopi",2,0
"678","mirip Lindsaea",70,0
"679","Mirip Macaranga (love)",4,0
"680","mirip mapple",6,0
"681","mirip marantodes pumilium",2,0
"682","mirip obat kuat menjalar",4,0
"683","mirip pakis",16,0
"684","Mirip paku pakuan",10,0
"685","Mirip Pulai Pipit",4,0
"686","Mirip Salam",1,0
"687","Mirip Sellaginela",54,0
"688","Mirip Sungkai",1,0
"689","Mirip Talas",1,0
"690","mirip waru",23,0
"691","Mirip Waru",1,0
"692","Molinera latifolia",240,0
"693","Molineria latifolia",27,0
"694","Moracea spec. 3",1,0
"695","Moracea spec. 4",5,0
"696","Moracea spec. 5",2,0
"697","Moracea spec. 6",1,0
"698","Moracea spec. 7",1,0
"699","Moracea spec. 8",6,0
"700","Moraceae spec.",4,0
"701","Moraceae spec. 1",2,0
"702","MS: Aktonia",1,0
"703","MS: Batang garuh",1,0
"704","MS: Batang puah",4,0
"705","MS: Bunga plasitk",79,0
"706","MS: Bunga plastik",86,0
"707","MS: Cabe sp.",13,0
"708","MS: Cpekal",1,0
"709","MS: Daun berbulu",34,0
"710","MS: Daun gatal",12,0
"711","MS: daun Gerigi",5,0
"712","MS: Daun love merambat",6,0
"713","MS: Daun mahang",1,0
"714","MS: Daun pandan",2,0
"715","MS: Daun perak",20,0
"716","MS: Daun plastic",61,0
"717","MS: Gerigi",5,0
"718","MS: Granul outside",47,0
"719","MS: Granula inside",1,0
"720","MS: Kaca Kacang",19,0
"721","MS: Kayak Macaranga",1,0
"722","MS: Kayu plangas",15,0
"723","MS: Love daun berbulu tebal",2,0
"724","MS: Love menjala gerigi",3,0
"725","MS: Love menjalar",12,0
"726","MS: Love merambat",12,0
"727","MS: love tebal",1,0
"728","MS: Mirip amplas",42,0
"729","MS: Mirip cabe",5,0
"730","MS: Mirip Cape",20,0
"731","MS: Mirip Karet",267,0
"732","MS: Mirip repens",194,0
"733","MS: Ngejalar bukan love",1,0
"734","MS: Orange Asystasia gangetica",7,0
"735","MS: Paku bau",9,0
"736","MS: Paku bintang",43,0
"737","MS: Paku Karat",28,0
"738","MS: Paku keriting",8,0
"739","MS: Paku merambat",2,0
"740","MS: Paku pasangan",7,0
"741","MS: Paku rambat keriting",72,0
"742","MS: Paku sp.",80,0
"743","MS: Paku sp. 1",2,0
"744","MS: Pucuk",8,0
"745","MS: Puruk",138,0
"746","MS: Rotan",4,0
"747","MS: Rumput berdiri",1,0
"748","MS: Rumput Coklat",3816,0
"749","MS: Rumput gajah",1549,0
"750","MS: Salung/ Puruk",10,0
"751","MS: Teki",366,0
"752","MS: Teki/ Gajah",69,0
"753","Musa paradisiaca",1,0
"754","Musa sp.",1,0
"755","musaceae sp",1,0
"756","Mussaenda frondosa",327,0
"757","Mussaenda frondosa",3,0
"758","Myristica fragrans",1,0
"759","Nephelium lappaceum L.",4,0
"760","Nephrolepis acutifolia",46,0
"761","Nephrolepis biserrata",999,0
"762","Nephrolepis exaltata",2083,0
"763","Nephrolepis spec.",377,0
"764","Nephrolepis<U+00A0>biserrata",4,0
"765","Nephrolepis biserrata",304,0
"766","No name 1",3,0
"767","No Name 1",1,0
"768","No Name 2",11,0
"769","No Name 3",1,0
"770","No Name 4",2,0
"771","Obat kuat",47,0
"772","Ophioglossacea spec.",2,0
"773","Ophioglossum pendulum",8,0
"774","Ophiorrhiza spec.",5,0
"775","Oplismenus compositus",15,0
"776","Ottochloa nodosa",8299,0
"777","Ottochlosa nodosa",31431,0
"778","Ovalblattb<e4>umchen",4,0
"779","Oxalis barrelieri",920,0
"780","Oxalis spec.",36,0
"781","Paederia foetida",2,0
"782","Pakis",42,0
"783","pakis hutan",36,0
"784","Paku",8,0
"785","Paku  Cemara",73,0
"786","Paku buluh",11,0
"787","Paku cemara",56,0
"788","Paku Cemara",160,0
"789","Paku cilik",2,0
"790","paku flower",70,0
"791","Paku karet",1,0
"792","paku kristal",11,0
"793","Paku Lebar",5,0
"794","paku merambat",68,0
"795","Paku Pedang",14,0
"796","Paku Pipih",3,0
"797","Paku wayang",280,0
"798","Palaquium obovatum",1,0
"799","Pancium maximum",6,0
"800","pandan",3,0
"801","Pandan",5,0
"802","Pandan hutan bunga kuning",4,0
"803","pandanus",6,0
"804","Pandanus amaryllifolius",3,0
"805","Pandanus spec.",3,0
"806","Panicum accrescens",97,0
"807","Panicum maximum",22,0
"808","Panicum mucrescens",245,0
"809","Panicum repens",15343,0
"810","Panicum spec.",282,0
"811","Panicum luzonense",296,0
"812","Paraserianthes falcataria",7,0
"813","Paspalum cetaceum",37,0
"814","Paspalum conjugatum",4902,0
"815","Paspalum dilatatum",762,0
"816","Paspalum repens",21,0
"817","Paspalum scrobiculatum",8,0
"818","Paspalum setaceum",797,0
"819","Passiflora foetida",288,0
"820","Passiflora spec.",4,0
"821","pennisetum polystachion",172,0
"822","Pennisetum polystachion",174,0
"823","Penuh daun",20,0
"824","Peperomia pellucida",116,0
