"","HHCode","wave","pid","MatchingIssue","DataMissing","SpeciesName","Abundance","Invasive","regency","village","crop","hid"
"128","112,15",2012,NA,NA,NA,"Hevea brasiliensis","13",0,NA,NA,NA,"39"
"129","112,15",2012,NA,NA,NA,"Scleria levis","34",0,NA,NA,NA,"39"
"130","112,15",2012,NA,NA,NA,"Dicranopteris linearis","6",1,NA,NA,NA,"39"
"131","112,15",2012,NA,NA,NA,"Breynia stipitata","9",0,NA,NA,NA,"39"
"132","112,15",2012,NA,NA,NA,"Mussaenda frondosa","1",0,NA,NA,NA,"39"
"133","112,15",2012,NA,NA,NA,"Echinochloa colonum","15",0,NA,NA,NA,"39"
"134","112,16",2012,NA,NA,NA,"Ageratum conyzoides","391",1,NA,NA,NA,"40"
"135","112,16",2012,NA,NA,NA,"Oxalis barrelieri","28",0,NA,NA,NA,"40"
"136","112,16",2012,NA,NA,NA,"Axonopus compressus","485",0,NA,NA,NA,"40"
"137","112,16",2012,NA,NA,NA,"Asystasia gangetica","239",1,NA,NA,NA,"40"
"138","121,02",2012,NA,NA,NA,"Imperata cylindrica","21",0,NA,NA,NA,"44"
"139","121,02",2012,NA,NA,NA,"Macaranga javanica","4",0,NA,NA,NA,"44"
"140","121,02",2012,NA,NA,NA,"Mikania micrantha","2",0,NA,NA,NA,"44"
"141","121,02",2012,NA,NA,NA,"Dicranopteris linearis","12",1,NA,NA,NA,"44"
"142","121,02",2012,NA,NA,NA,"Hypserpa nitida","5",0,NA,NA,NA,"44"
"143","121,02",2012,NA,NA,NA,"Chromolaena odorata","2772",0,NA,NA,NA,"44"
"144","121,02",2012,NA,NA,NA,"Paspalum conjugatum","103",0,NA,NA,NA,"44"
"145","121,02",2012,NA,NA,NA,"Clidemia hirta","8",1,NA,NA,NA,"44"
"146","121,04",2012,NA,NA,NA,"Spermaococe latifolia","41",0,NA,NA,NA,"46"
"147","121,04",2012,NA,NA,NA,"Oxalis barrelieri","12",0,NA,NA,NA,"46"
"148","121,04",2012,NA,NA,NA,"Setaria palmifolia","59",0,NA,NA,NA,"46"
"149","121,04",2012,NA,NA,NA,"Scleria bancana","2",0,NA,NA,NA,"46"
"150","121,04",2012,NA,NA,NA,"local name: Balsam","6",0,NA,NA,NA,"46"
"151","121,04",2012,NA,NA,NA,"Melastoma malabathricum","6",0,NA,NA,NA,"46"
"152","121,04",2012,NA,NA,NA,"Asystasia gangetica","32",1,NA,NA,NA,"46"
"153","121,04",2012,NA,NA,NA,"Lygodium salicifolium","6",0,NA,NA,NA,"46"
"154","121,04",2012,NA,NA,NA,"Elaeis guineensis","3",0,NA,NA,NA,"46"
"155","121,04",2012,NA,NA,NA,"Clidemia hirta","24",1,NA,NA,NA,"46"
"156","121,04",2012,NA,NA,NA,"Paspalum conjugatum","91",0,NA,NA,NA,"46"
"157","121,04",2012,NA,NA,NA,"Sida acuta","2",0,NA,NA,NA,"46"
"158","121,04",2012,NA,NA,NA,"Elephantus mollis","27",0,NA,NA,NA,"46"
"159","121,05",2012,NA,NA,NA,"Spatholobus ferrugineus","1",0,NA,NA,NA,"47"
"160","121,05",2012,NA,NA,NA,"Axonopus compressus","11",0,NA,NA,NA,"47"
"161","121,05",2012,NA,NA,NA,"Scleria bancana","59",0,NA,NA,NA,"47"
"162","121,05",2012,NA,NA,NA,"Setaria palmifolia","109",0,NA,NA,NA,"47"
"163","121,05",2012,NA,NA,NA,"Aporosa grandistipula","6",0,NA,NA,NA,"47"
"164","121,05",2012,NA,NA,NA,"Lygodium spec.","9",0,NA,NA,NA,"47"
"165","121,05",2012,NA,NA,NA,"local name: Cetokan","2",0,NA,NA,NA,"47"
"166","121,05",2012,NA,NA,NA,"Macaranga gigantea","1",0,NA,NA,NA,"47"
"167","121,05",2012,NA,NA,NA,"local name: Tepusun","1",0,NA,NA,NA,"47"
"168","121,05",2012,NA,NA,NA,"Tetrastigma pedunculare","1",0,NA,NA,NA,"47"
"169","121,05",2012,NA,NA,NA,"Clidemia hirta","8",1,NA,NA,NA,"47"
"170","121,05",2012,NA,NA,NA,"Spermaococe latifolia","27",0,NA,NA,NA,"47"
"171","121,05",2012,NA,NA,NA,"Cardiospermum grandiflorum","1",0,NA,NA,NA,"47"
"172","121,05",2012,NA,NA,NA,"Piper aduncum","4",0,NA,NA,NA,"47"
"173","121,05",2012,NA,NA,NA,"Melastoma malabathricum","24",0,NA,NA,NA,"47"
"174","121,05",2012,NA,NA,NA,"Oxalis spec.","5",0,NA,NA,NA,"47"
"175","121,05",2012,NA,NA,NA,"Hevea brasiliensis","7",0,NA,NA,NA,"47"
"176","121,05",2012,NA,NA,NA,"local name: Jengkol","7",0,NA,NA,NA,"47"
"177","121,12",2012,NA,NA,NA,"Axonopus compressus","13",0,NA,NA,NA,"54"
"178","121,12",2012,NA,NA,NA,"Cardiospermum grandiflorum","1",0,NA,NA,NA,"54"
"179","121,12",2012,NA,NA,NA,"Macaranga javanica","1",0,NA,NA,NA,"54"
"180","121,12",2012,NA,NA,NA,"Hevea brasiliensis","44",0,NA,NA,NA,"54"
"181","121,12",2012,NA,NA,NA,"Cleome rutidosperma","1",0,NA,NA,NA,"54"
"182","121,12",2012,NA,NA,NA,"local name: Balsam","10",0,NA,NA,NA,"54"
"183","121,12",2012,NA,NA,NA,"Panicum repens","3",0,NA,NA,NA,"54"
"184","121,12",2012,NA,NA,NA,"Macaranga gigantea","1",0,NA,NA,NA,"54"
"185","121,12",2012,NA,NA,NA,"Scleria levis","40",0,NA,NA,NA,"54"
"186","121,12",2012,NA,NA,NA,"Asystasia gangetica","28",1,NA,NA,NA,"54"
"187","121,12",2012,NA,NA,NA,"Clidemia hirta","72",1,NA,NA,NA,"54"
"188","121,12",2012,NA,NA,NA,"Lygodium salicifolium","24",0,NA,NA,NA,"54"
"189","121,14",2012,NA,NA,NA,"Melastoma affine","49",0,NA,NA,NA,"56"
"190","121,14",2012,NA,NA,NA,"Axonopus compressus","21",0,NA,NA,NA,"56"
"191","121,14",2012,NA,NA,NA,"Maesopsis eminii","2",0,NA,NA,NA,"56"
"192","121,14",2012,NA,NA,NA,"Lygodium salicifolium","12",0,NA,NA,NA,"56"
"193","121,14",2012,NA,NA,NA,"Clidemia hirta","116",1,NA,NA,NA,"56"
"194","121,14",2012,NA,NA,NA,"local name: Paku sisik naga","2",0,NA,NA,NA,"56"
"195","121,14",2012,NA,NA,NA,"Borreria repens","8",0,NA,NA,NA,"56"
"196","121,14",2012,NA,NA,NA,"Centotheca lappacea","57",0,NA,NA,NA,"56"
"197","121,14",2012,NA,NA,NA,"Macaranga gigantea","3",0,NA,NA,NA,"56"
"198","121,14",2012,NA,NA,NA,"Pennisetum polystachion","13",0,NA,NA,NA,"56"
"199","121,14",2012,NA,NA,NA,"Taenitis blechnoides","16",0,NA,NA,NA,"56"
"200","121,14",2012,NA,NA,NA,"Paspalum conjugatum","11",0,NA,NA,NA,"56"
"201","121,14",2012,NA,NA,NA,"Echinochloa colonum","6",0,NA,NA,NA,"56"
"202","121,14",2012,NA,NA,NA,"Bromheadia finlaysoniana ","4",0,NA,NA,NA,"56"
"203","121,14",2012,NA,NA,NA,"Scleria levis","5",0,NA,NA,NA,"56"
"204","121,14",2012,NA,NA,NA,"Breynia stipitata","5",0,NA,NA,NA,"56"
"205","121,14",2012,NA,NA,NA,"Hevea brasiliensis","9",0,NA,NA,NA,"56"
"206","121,18",2012,NA,NA,NA,"Axonopus compressus","90",0,NA,NA,NA,"60_1"
"207","121,18",2012,NA,NA,NA,"Axonopus compressus","90",0,NA,NA,NA,"60"
"208","121,18",2012,NA,NA,NA,"Hevea brasiliensis","6",0,NA,NA,NA,"60_1"
"209","121,18",2012,NA,NA,NA,"Hevea brasiliensis","6",0,NA,NA,NA,"60"
"210","121,18",2012,NA,NA,NA,"Amaranthus spinosus","54",0,NA,NA,NA,"60_1"
"211","121,18",2012,NA,NA,NA,"Amaranthus spinosus","54",0,NA,NA,NA,"60"
"212","121,18",2012,NA,NA,NA,"Lygodium salicifolium","31",0,NA,NA,NA,"60_1"
"213","121,18",2012,NA,NA,NA,"Lygodium salicifolium","31",0,NA,NA,NA,"60"
"214","121,18",2012,NA,NA,NA,"Asystasia gangetica","30",1,NA,NA,NA,"60_1"
"215","121,18",2012,NA,NA,NA,"Asystasia gangetica","30",1,NA,NA,NA,"60"
"216","121,18",2012,NA,NA,NA,"Scleria levis","25",0,NA,NA,NA,"60_1"
"217","121,18",2012,NA,NA,NA,"Scleria levis","25",0,NA,NA,NA,"60"
"218","121,18",2012,NA,NA,NA,"Panicum repens","116",0,NA,NA,NA,"60_1"
"219","121,18",2012,NA,NA,NA,"Panicum repens","116",0,NA,NA,NA,"60"
"220","121,18",2012,NA,NA,NA,"Echinochloa colonum","2",0,NA,NA,NA,"60_1"
"221","121,18",2012,NA,NA,NA,"Echinochloa colonum","2",0,NA,NA,NA,"60"
"222","121,18",2012,NA,NA,NA,"Clidemia hirta","12",1,NA,NA,NA,"60_1"
"223","121,18",2012,NA,NA,NA,"Clidemia hirta","12",1,NA,NA,NA,"60"
"224","121,18",2012,NA,NA,NA,"Bridelia monica","4",0,NA,NA,NA,"60_1"
"225","121,18",2012,NA,NA,NA,"Bridelia monica","4",0,NA,NA,NA,"60"
"226","121,21",2012,NA,NA,NA,"Hevea brasiliensis","9",0,NA,NA,NA,"63"
"227","121,21",2012,NA,NA,NA,"Macaranga gigantea","3",0,NA,NA,NA,"63"
"228","121,21",2012,NA,NA,NA,"Setaria palmifolia","312",0,NA,NA,NA,"63"
"229","121,21",2012,NA,NA,NA,"Scleria bancana","77",0,NA,NA,NA,"63"
"230","121,21",2012,NA,NA,NA,"Axonopus spec.","60",0,NA,NA,NA,"63"
"231","121,21",2012,NA,NA,NA,"Piper aduncum","1",0,NA,NA,NA,"63"
"232","121,21",2012,NA,NA,NA,"Melastoma malabathricum","7",0,NA,NA,NA,"63"
"233","121,21",2012,NA,NA,NA,"Cratoxylum sumatranum","1",0,NA,NA,NA,"63"
"234","121,21",2012,NA,NA,NA,"Unident 4","1",0,NA,NA,NA,"63"
"235","121,21",2012,NA,NA,NA,"Clidemia hirta","307",1,NA,NA,NA,"63"
"236","121,21",2012,NA,NA,NA,"Lygodium spec.","27",0,NA,NA,NA,"63"
"237","121,21",2012,NA,NA,NA,"Oxalis barrelieri","13",0,NA,NA,NA,"63"
"238","121,21",2012,NA,NA,NA,"Trema orientalis ","7",0,NA,NA,NA,"63"
"239","121,21",2012,NA,NA,NA,"Spermaococe latifolia","3",0,NA,NA,NA,"63"
"240","121,21",2012,NA,NA,NA,"Derris trifoliata","27",0,NA,NA,NA,"63"
"241","122,04",2012,NA,NA,NA,"Lygodium circinatum","6",0,NA,NA,NA,"70"
"242","122,04",2012,NA,NA,NA,"Nephrolepis exaltata","5",0,NA,NA,NA,"70"
"243","122,04",2012,NA,NA,NA,"Clidemia hirta","275",1,NA,NA,NA,"70"
"244","122,04",2012,NA,NA,NA,"Hevea brasiliensis","95",0,NA,NA,NA,"70"
"245","122,04",2012,NA,NA,NA,"Centotheca lappacea","12",0,NA,NA,NA,"70"
"246","122,04",2012,NA,NA,NA,"Cyrtococcum mucrescens","65",0,NA,NA,NA,"70"
"247","122,08",2012,NA,NA,NA,"Lygodium salicifolium","24",0,NA,NA,NA,"74"
"248","122,08",2012,NA,NA,NA,"Asystasia gangetica","55",1,NA,NA,NA,"74"
"249","122,08",2012,NA,NA,NA,"Macaranga gigantea","2",0,NA,NA,NA,"74"
"250","122,08",2012,NA,NA,NA,"Nephrolepis exaltata","8",0,NA,NA,NA,"74"
"251","122,08",2012,NA,NA,NA,"Cleome rutidosperma","8",0,NA,NA,NA,"74"
"252","122,08",2012,NA,NA,NA,"Tectaria spec.","4",0,NA,NA,NA,"74"
"253","122,08",2012,NA,NA,NA,"Centotheca lappacea","29",0,NA,NA,NA,"74"
"254","122,08",2012,NA,NA,NA,"Scleria levis","28",0,NA,NA,NA,"74"
"255","122,08",2012,NA,NA,NA,"Hevea brasiliensis","31",0,NA,NA,NA,"74"
"256","122,08",2012,NA,NA,NA,"Aidia densiflora","2",0,NA,NA,NA,"74"
"257","122,08",2012,NA,NA,NA,"Melastoma malabathricum","61",0,NA,NA,NA,"74"
"258","122,08",2012,NA,NA,NA,"Adiantum trapeziforme","9",0,NA,NA,NA,"74"
"259","122,08",2012,NA,NA,NA,"Nephrolepis spec.","23",0,NA,NA,NA,"74"
"260","122,08",2012,NA,NA,NA,"Macaranga triloba","4",0,NA,NA,NA,"74"
"261","122,08",2012,NA,NA,NA,"Arenga sp.1","2",0,NA,NA,NA,"74"
"262","122,08",2012,NA,NA,NA,"Pennisetum polystachion","16",0,NA,NA,NA,"74"
"263","122,08",2012,NA,NA,NA,"Clidemia hirta","138",1,NA,NA,NA,"74"
"264","122,08",2012,NA,NA,NA,"Mikania micrantha","6",0,NA,NA,NA,"74"
"265","122,08",2012,NA,NA,NA,"Oxalis barrelieri","12",0,NA,NA,NA,"74"
"266","122,08",2012,NA,NA,NA,"local name: Liba","150",0,NA,NA,NA,"74"
"267","122,08",2012,NA,NA,NA,"Passiflora foetida","5",0,NA,NA,NA,"74"
"268","122,08",2012,NA,NA,NA,"Colocasia spec.","4",0,NA,NA,NA,"74"
"269","122,08",2012,NA,NA,NA,"Echinochloa colonum","273",0,NA,NA,NA,"74"
"270","122,08",2012,NA,NA,NA,"Panicum repens","66",0,NA,NA,NA,"74"
"271","122,08",2012,NA,NA,NA,"Helmintostachys zeylanica","1",0,NA,NA,NA,"74"
"272","122,08",2012,NA,NA,NA,"Christella parasitica","14",0,NA,NA,NA,"74"
"273","122,14",2012,NA,NA,NA,"Imperata cylindrica","28",0,NA,NA,NA,"80"
"274","122,14",2012,NA,NA,NA,"Adenia macrophyla","1",0,NA,NA,NA,"80"
"275","122,14",2012,NA,NA,NA,"Centotheca lappacea","545",0,NA,NA,NA,"80"
"276","122,14",2012,NA,NA,NA,"Ficus fistulosa","2",0,NA,NA,NA,"80"
"277","122,14",2012,NA,NA,NA,"Axonopus compressus","121",0,NA,NA,NA,"80"
"278","122,14",2012,NA,NA,NA,"Asystasia gangetica","1",1,NA,NA,NA,"80"
"279","122,14",2012,NA,NA,NA,"Clidemia hirta","11",1,NA,NA,NA,"80"
"280","122,17",2012,NA,NA,NA,"Mikania micrantha","1",0,NA,NA,NA,"83"
"281","122,17",2012,NA,NA,NA,"Cissus spec.","3",0,NA,NA,NA,"83"
"282","122,17",2012,NA,NA,NA,"local name: Cetokan","1",0,NA,NA,NA,"83"
"283","122,17",2012,NA,NA,NA,"Phyllanthus niruri","7",0,NA,NA,NA,"83"
"284","122,17",2012,NA,NA,NA,"Setaria palmifolia","228",0,NA,NA,NA,"83"
"285","122,17",2012,NA,NA,NA,"Axonopus compressus","144",0,NA,NA,NA,"83"
"286","122,17",2012,NA,NA,NA,"Lygodium salicifolium","11",0,NA,NA,NA,"83"
"287","122,17",2012,NA,NA,NA,"Spermaococe latifolia","10",0,NA,NA,NA,"83"
"288","122,17",2012,NA,NA,NA,"local name: Liba","13",0,NA,NA,NA,"83"
"289","122,17",2012,NA,NA,NA,"Clidemia hirta","33",1,NA,NA,NA,"83"
"290","122,17",2012,NA,NA,NA,"Macaranga gigantea","2",0,NA,NA,NA,"83"
"291","122,17",2012,NA,NA,NA,"Oxalis barrelieri","8",0,NA,NA,NA,"83"
"292","122,18",2012,NA,NA,NA,"Lygodium salicifolium","9",0,NA,NA,NA,"84"
"293","122,18",2012,NA,NA,NA,"Hevea brasiliensis","48",0,NA,NA,NA,"84"
"294","122,18",2012,NA,NA,NA,"Nephrolepis exaltata","4",0,NA,NA,NA,"84"
"295","122,18",2012,NA,NA,NA,"Adiantum spec.","37",0,NA,NA,NA,"84"
"296","122,18",2012,NA,NA,NA,"Clidemia hirta","36",1,NA,NA,NA,"84"
